Chromosome,Start,End,arm
chr1,700000,799999,1p
chr1,800000,899999,1p
chr1,900000,999999,1p
chr1,1000000,1099999,1p
chr1,1100000,1199999,1p
chr1,1200000,1299999,1p
chr1,1300000,1399999,1p
chr1,1400000,1499999,1p
chr1,1500000,1599999,1p
chr1,1600000,1699999,1p
chr1,1700000,1799999,1p
chr1,1800000,1899999,1p
chr1,1900000,1999999,1p
chr1,2000000,2099999,1p
chr1,2100000,2199999,1p
chr1,2200000,2299999,1p
chr1,2300000,2399999,1p
chr1,2400000,2499999,1p
chr1,2500000,2599999,1p
chr1,2700000,2799999,1p
chr1,2800000,2899999,1p
chr1,2900000,2999999,1p
chr1,3000000,3099999,1p
chr1,3100000,3199999,1p
chr1,3200000,3299999,1p
chr1,3300000,3399999,1p
chr1,3400000,3499999,1p
chr1,3500000,3599999,1p
chr1,3600000,3699999,1p
chr1,3700000,3799999,1p
chr1,4000000,4099999,1p
chr1,4100000,4199999,1p
chr1,4200000,4299999,1p
chr1,4300000,4399999,1p
chr1,4400000,4499999,1p
chr1,4500000,4599999,1p
chr1,4600000,4699999,1p
chr1,4700000,4799999,1p
chr1,4800000,4899999,1p
chr1,4900000,4999999,1p
chr1,5000000,5099999,1p
chr1,5100000,5199999,1p
chr1,5200000,5299999,1p
chr1,5300000,5399999,1p
chr1,5400000,5499999,1p
chr1,5500000,5599999,1p
chr1,5600000,5699999,1p
chr1,5700000,5799999,1p
chr1,5800000,5899999,1p
chr1,5900000,5999999,1p
chr1,6000000,6099999,1p
chr1,6100000,6199999,1p
chr1,6200000,6299999,1p
chr1,6300000,6399999,1p
chr1,6400000,6499999,1p
chr1,6500000,6599999,1p
chr1,6600000,6699999,1p
chr1,6700000,6799999,1p
chr1,6800000,6899999,1p
chr1,6900000,6999999,1p
chr1,7000000,7099999,1p
chr1,7100000,7199999,1p
chr1,7200000,7299999,1p
chr1,7300000,7399999,1p
chr1,7400000,7499999,1p
chr1,7500000,7599999,1p
chr1,7600000,7699999,1p
chr1,7700000,7799999,1p
chr1,7800000,7899999,1p
chr1,7900000,7999999,1p
chr1,8000000,8099999,1p
chr1,8100000,8199999,1p
chr1,8200000,8299999,1p
chr1,8300000,8399999,1p
chr1,8400000,8499999,1p
chr1,8500000,8599999,1p
chr1,8600000,8699999,1p
chr1,8700000,8799999,1p
chr1,8800000,8899999,1p
chr1,8900000,8999999,1p
chr1,9000000,9099999,1p
chr1,9100000,9199999,1p
chr1,9200000,9299999,1p
chr1,9300000,9399999,1p
chr1,9400000,9499999,1p
chr1,9500000,9599999,1p
chr1,9600000,9699999,1p
chr1,9700000,9799999,1p
chr1,9800000,9899999,1p
chr1,9900000,9999999,1p
chr1,10000000,10099999,1p
chr1,10100000,10199999,1p
chr1,10200000,10299999,1p
chr1,10300000,10399999,1p
chr1,10400000,10499999,1p
chr1,10500000,10599999,1p
chr1,10600000,10699999,1p
chr1,10700000,10799999,1p
chr1,10800000,10899999,1p
chr1,10900000,10999999,1p
chr1,11000000,11099999,1p
chr1,11100000,11199999,1p
chr1,11200000,11299999,1p
chr1,11300000,11399999,1p
chr1,11400000,11499999,1p
chr1,11500000,11599999,1p
chr1,11600000,11699999,1p
chr1,11700000,11799999,1p
chr1,11800000,11899999,1p
chr1,11900000,11999999,1p
chr1,12000000,12099999,1p
chr1,12100000,12199999,1p
chr1,12200000,12299999,1p
chr1,12300000,12399999,1p
chr1,12400000,12499999,1p
chr1,12500000,12599999,1p
chr1,12600000,12699999,1p
chr1,12700000,12799999,1p
chr1,12800000,12899999,1p
chr1,12900000,12999999,1p
chr1,13700000,13799999,1p
chr1,13800000,13899999,1p
chr1,13900000,13999999,1p
chr1,14000000,14099999,1p
chr1,14100000,14199999,1p
chr1,14200000,14299999,1p
chr1,14300000,14399999,1p
chr1,14400000,14499999,1p
chr1,14500000,14599999,1p
chr1,14600000,14699999,1p
chr1,14700000,14799999,1p
chr1,14800000,14899999,1p
chr1,14900000,14999999,1p
chr1,15000000,15099999,1p
chr1,15100000,15199999,1p
chr1,15200000,15299999,1p
chr1,15300000,15399999,1p
chr1,15400000,15499999,1p
chr1,15500000,15599999,1p
chr1,15600000,15699999,1p
chr1,15700000,15799999,1p
chr1,15800000,15899999,1p
chr1,15900000,15999999,1p
chr1,16000000,16099999,1p
chr1,16100000,16199999,1p
chr1,16200000,16299999,1p
chr1,16300000,16399999,1p
chr1,16400000,16499999,1p
chr1,16500000,16599999,1p
chr1,16600000,16699999,1p
chr1,16700000,16799999,1p
chr1,16800000,16899999,1p
chr1,16900000,16999999,1p
chr1,17000000,17099999,1p
chr1,17200000,17299999,1p
chr1,17300000,17399999,1p
chr1,17400000,17499999,1p
chr1,17500000,17599999,1p
chr1,17600000,17699999,1p
chr1,17700000,17799999,1p
chr1,17800000,17899999,1p
chr1,17900000,17999999,1p
chr1,18000000,18099999,1p
chr1,18100000,18199999,1p
chr1,18200000,18299999,1p
chr1,18300000,18399999,1p
chr1,18400000,18499999,1p
chr1,18500000,18599999,1p
chr1,18600000,18699999,1p
chr1,18700000,18799999,1p
