Chromosome,Start,End,arm
chr1,635380,735379,1p
chr1,735380,835379,1p
chr1,835380,935379,1p
chr1,935380,1035379,1p
chr1,1035380,1135379,1p
chr1,1135380,1235379,1p
chr1,1235380,1335379,1p
chr1,1335380,1435379,1p
chr1,1435380,1535379,1p
chr1,1535380,1631438,1p
chr1,1631439,1731438,1p
chr1,1731439,1831438,1p
chr1,1831439,1931438,1p
chr1,1931439,2031438,1p
chr1,2031439,2131438,1p
chr1,2131439,2231438,1p
chr1,2231439,2331438,1p
chr1,2331439,2431438,1p
chr1,2431439,2531438,1p
chr1,2631439,2716564,1p
chr1,2716565,2816564,1p
chr1,2816565,2916563,1p
chr1,2916564,3016563,1p
chr1,3016564,3116563,1p
chr1,3116564,3216563,1p
chr1,3216564,3316563,1p
chr1,3316564,3416563,1p
chr1,3416564,3516563,1p
chr1,3516564,3616563,1p
chr1,3616564,3716563,1p
chr1,4060060,4160059,1p
chr1,4160060,4260059,1p
chr1,4260060,4360059,1p
chr1,4360060,4460059,1p
chr1,4460060,4560059,1p
chr1,4560060,4660059,1p
chr1,4660060,4760059,1p
chr1,4760060,4860059,1p
chr1,4860060,4960059,1p
chr1,4960060,5060059,1p
chr1,5060060,5160059,1p
chr1,5160060,5260059,1p
chr1,5260060,5360059,1p
chr1,5360060,5460059,1p
chr1,5460060,5560059,1p
chr1,5560060,5660059,1p
chr1,5660060,5760059,1p
chr1,5760060,5860059,1p
chr1,5860060,5960059,1p
chr1,5960060,6060059,1p
chr1,6060060,6160059,1p
chr1,6160060,6260059,1p
chr1,6260060,6360059,1p
chr1,6360060,6460059,1p
chr1,6460060,6560059,1p
chr1,6560060,6660059,1p
chr1,6660060,6760059,1p
chr1,6760060,6860059,1p
chr1,6860060,6960059,1p
chr1,6960060,7060059,1p
chr1,7060060,7160059,1p
chr1,7160060,7260059,1p
chr1,7260060,7360059,1p
chr1,7360060,7460059,1p
chr1,7460060,7560059,1p
chr1,7560060,7660059,1p
chr1,7660060,7760059,1p
chr1,7760060,7860059,1p
chr1,7860060,7960059,1p
chr1,7960060,8060059,1p
chr1,8060060,8160059,1p
chr1,8160060,8260059,1p
chr1,8260060,8360059,1p
