Chromosome	Start	End	width	strand	bases	gc	mappability	blacklist	residual	arm	bin
chr1	2300001	2400000	100000	*	100	58.421	93.1989	0	-0.0374896119860861	1p	1
chr1	2400001	2500000	100000	*	100	62.701	97.2016	0	0.0215274010152634	1p	2
chr1	2500001	2600000	100000	*	100	61.192	92.8602	0	-0.0327770545012977	1p	3
chr1	2800001	2900000	100000	*	100	57.936	95.5493	0	-0.0296922403268014	1p	4
chr1	2900001	3000000	100000	*	100	55.428	95.2131	0	-0.0246081149338016	1p	5
chr1	3000001	3100000	100000	*	100	56.6	97.0742	0	-0.0660465881029974	1p	6
chr1	3100001	3200000	100000	*	100	58.159	96.6666	0	-0.0576082427244007	1p	7
chr1	3200001	3300000	100000	*	100	56.826	94.9106	0	-0.0116064200704108	1p	8
chr1	3300001	3400000	100000	*	100	56.179	96.9456	0	-0.0394912700876774	1p	9
chr1	3400001	3500000	100000	*	100	59.153	96.9601	0	-0.0959688068477811	1p	10
chr1	3500001	3600000	100000	*	100	62.381	95.6045	0	0.0206863825067841	1p	11
chr1	3600001	3700000	100000	*	100	57.226	93.4878	0	-0.0222303180381977	1p	12
chr1	3700001	3800000	100000	*	100	57.201	90.6845	0	-0.0455821351335117	1p	13
chr1	3800001	3900000	100000	*	100	49.207	83.7669	0	-0.00591104243059959	1p	14
chr1	3900001	4000000	100000	*	100	51.777	92.5659	0	-0.0239586192555958	1p	15
chr1	4000001	4100000	100000	*	100	49.518	86.3647	0	-0.0187849703948832	1p	16
chr1	4100001	4200000	100000	*	100	48.685	85.1902	0	-0.0083697306500285	1p	17
chr1	4200001	4300000	100000	*	100	44.438	89.2799	0	-0.0280242902029491	1p	18
chr1	4300001	4400000	100000	*	100	49.496	92.8005	0	-0.0119606725886453	1p	19
chr1	4400001	4500000	100000	*	100	47.5	94.2275	0	-0.029826200835514	1p	20
chr1	4500001	4600000	100000	*	100	46.128	91.0155	0	-0.0253935391472216	1p	21
chr1	4600001	4700000	100000	*	100	52.037	95.7179	0	-0.0524599556826887	1p	22
chr1	4700001	4800000	100000	*	100	51.757	95.9544	0	-0.028832033331432	1p	23
chr1	4800001	4900000	100000	*	100	43.56	85.4852	0	-0.00159930127676322	1p	24
chr1	4900001	5000000	100000	*	100	45.872	94.2131	0	-0.00796016542773648	1p	25
chr1	5000001	5100000	100000	*	100	40.916	87.1703	0	0.0132577431199304	1p	26
chr1	5100001	5200000	100000	*	100	43.978	89.2541	0	-0.00270926650739939	1p	27
chr1	5200001	5300000	100000	*	100	45.412	94.2373	0	-0.0450719923202982	1p	28
chr1	5300001	5400000	100000	*	100	46.281	94.5712	0	0.00464885808412063	1p	29
chr1	5400001	5500000	100000	*	100	49.312	95.7584	0	-0.00629489053809473	1p	30
chr1	5500001	5600000	100000	*	100	45.821	92.8732	0	-0.0595273345633565	1p	31
