Chromosome	Start	End	width	strand	bases	gc	mappability	blacklist	residual	arm	bin
chr1	2000001	3000000	1000000	*	95.6491	58.371171291732	85.9538	0	0.0545465292294915	1p	1
chr1	3000001	4000000	1000000	*	100	56.4709	93.8667	0	-0.0169089479029793	1p	2
chr1	4000001	5000000	1000000	*	100	47.8991	91.0249	0	-0.0184409983529016	1p	3
chr1	6000001	7000000	1000000	*	100	51.6295	85.9848	0	-0.000338820304004561	1p	4
chr1	7000001	8000000	1000000	*	100	47.7805	89.9338	0	-0.00791858568559972	1p	5
chr1	10000001	11000000	1000000	*	100	48.0842	84.3726	0	-0.0127992177544058	1p	6
chr1	11000001	12000000	1000000	*	100	50.0389	84.2047	0	0.0367827851614354	1p	7
chr1	12000001	13000000	1000000	*	95.4384	46.5835554661436	77.0229	0	0.0373944576717715	1p	8
chr1	14000001	15000000	1000000	*	100	44.9915	90.2845	0	0.0215992477559034	1p	9
chr1	15000001	16000000	1000000	*	100	48.3764	84.097	0	-0.00909166287339547	1p	10
chr1	17000001	18000000	1000000	*	100	50.2632	88.6394	0	-0.00791461386333198	1p	11
chr1	18000001	19000000	1000000	*	100	49.7501	94.0496	0	0.0192725702919713	1p	12
chr1	19000001	20000000	1000000	*	100	47.1745	86.863	0	0.00348470264879752	1p	13
chr1	20000001	21000000	1000000	*	100	46.0951	87.7376	0	-0.020838280604721	1p	14
chr1	21000001	22000000	1000000	*	100	48.3198	80.4389	0	-0.0238659344816385	1p	15
chr1	22000001	23000000	1000000	*	100	49.4369	90.1873	0	0.00917724727777347	1p	16
chr1	23000001	24000000	1000000	*	100	46.0703	81.378	0	0.0261329661077031	1p	17
chr1	24000001	25000000	1000000	*	100	46.9168	86.1891	0	0.0135069473193685	1p	18
chr1	25000001	26000000	1000000	*	100	47.7051	81.9289	0	-0.013122284968064	1p	19
chr1	26000001	27000000	1000000	*	100	48.6304	80.9551	0	0.0312567280391977	1p	20
chr1	27000001	28000000	1000000	*	100	48.5994	80.9336	0	0.0290449860733513	1p	21
chr1	28000001	29000000	1000000	*	100	45.3068	76.1823	0	0.0120953225380306	1p	22
chr1	29000001	30000000	1000000	*	99.8398	47.3441453208039	89.9818	0	-0.0041987311886767	1p	23
chr1	30000001	31000000	1000000	*	100	48.24	90.9177	0	0.00968625791968014	1p	24
chr1	31000001	32000000	1000000	*	100	47.3163	83.9872	0	-0.00213759170381672	1p	25
chr1	34000001	35000000	1000000	*	100	44.8008	91.4926	0	0.0174130459397138	1p	26
chr1	35000001	36000000	1000000	*	100	42.39	82.295	0	-0.0070940976885871	1p	27
chr1	36000001	37000000	1000000	*	100	48.4499	88.5001	0	0.0129958083923934	1p	28
chr1	37000001	38000000	1000000	*	100	47.2904	86.7618	0	0.0140111569605635	1p	29
chr1	39000001	40000000	1000000	*	100	45.828	82.4038	0	0.0170120785853687	1p	30
chr1	40000001	41000000	1000000	*	100	44.4053	84.5412	0	0.0014003645006434	1p	31
chr1	41000001	42000000	1000000	*	100	46.2513	91.3862	0	0.0353775457158683	1p	32
chr1	42000001	43000000	1000000	*	100	42.4446	87.0166	0	-0.00806521626550044	1p	33
chr1	43000001	44000000	1000000	*	100	47.4953	88.1651	0	0.0191327147012743	1p	34
chr1	44000001	45000000	1000000	*	100	46.5378	86.5257	0	0.0088794668549167	1p	35
chr1	45000001	46000000	1000000	*	100	42.6325	78.9255	0	0.0156362597554673	1p	36
chr1	46000001	47000000	1000000	*	100	45.6795	79.6601	0	0.0154056125630785	1p	37
