Chromosome,Start,End,arm
chr1,2300001,2400000,1p
chr1,2400001,2500000,1p
chr1,2500001,2600000,1p
chr1,2800001,2900000,1p
chr1,2900001,3000000,1p
chr1,3000001,3100000,1p
chr1,3100001,3200000,1p
chr1,3200001,3300000,1p
chr1,3300001,3400000,1p
chr1,3400001,3500000,1p
chr1,3500001,3600000,1p
chr1,3600001,3700000,1p
chr1,3700001,3800000,1p
chr1,3900001,4000000,1p
chr1,4300001,4400000,1p
chr1,4400001,4500000,1p
chr1,4500001,4600000,1p
chr1,4600001,4700000,1p
chr1,4700001,4800000,1p
chr1,4900001,5000000,1p
chr1,5200001,5300000,1p
chr1,5300001,5400000,1p
chr1,5400001,5500000,1p
chr1,5500001,5600000,1p
chr1,5700001,5800000,1p
chr1,5900001,6000000,1p
chr1,6000001,6100000,1p
chr1,6800001,6900000,1p
chr1,6900001,7000000,1p
chr1,7000001,7100000,1p
chr1,7100001,7200000,1p
chr1,7200001,7300000,1p
chr1,7300001,7400000,1p
chr1,7400001,7500000,1p
chr1,7500001,7600000,1p
chr1,8300001,8400000,1p
chr1,9300001,9400000,1p
chr1,10600001,10700000,1p
chr1,10700001,10800000,1p
chr1,11400001,11500000,1p
chr1,11500001,11600000,1p
chr1,12400001,12500000,1p
chr1,13700001,13800000,1p
chr1,13900001,14000000,1p
chr1,14000001,14100000,1p
chr1,14100001,14200000,1p
chr1,14400001,14500000,1p
chr1,14500001,14600000,1p
chr1,14600001,14700000,1p
chr1,14700001,14800000,1p
chr1,14800001,14900000,1p
chr1,15000001,15100000,1p
chr1,17200001,17300000,1p
chr1,17600001,17700000,1p
chr1,17700001,17800000,1p
chr1,17800001,17900000,1p
chr1,17900001,18000000,1p
chr1,18000001,18100000,1p
chr1,18100001,18200000,1p
chr1,18200001,18300000,1p
chr1,18300001,18400000,1p
chr1,18400001,18500000,1p
chr1,18500001,18600000,1p
chr1,18600001,18700000,1p
chr1,18700001,18800000,1p
chr1,18800001,18900000,1p
chr1,18900001,19000000,1p
chr1,19000001,19100000,1p
chr1,19100001,19200000,1p
chr1,19300001,19400000,1p
chr1,19400001,19500000,1p
chr1,20100001,20200000,1p
chr1,20200001,20300000,1p
chr1,20300001,20400000,1p
chr1,20400001,20500000,1p
chr1,21600001,21700000,1p
chr1,22100001,22200000,1p
chr1,22200001,22300000,1p
chr1,22300001,22400000,1p
chr1,22400001,22500000,1p
chr1,22500001,22600000,1p
chr1,22600001,22700000,1p
chr1,22700001,22800000,1p
chr1,22800001,22900000,1p
chr1,24300001,24400000,1p
chr1,24900001,25000000,1p
chr1,25000001,25100000,1p
chr1,25700001,25800000,1p
chr1,27500001,27600000,1p
chr1,29300001,29400000,1p
chr1,29500001,29600000,1p
chr1,29600001,29700000,1p
chr1,29700001,29800000,1p
chr1,29800001,29900000,1p
chr1,29900001,30000000,1p
chr1,30000001,30100000,1p
chr1,30100001,30200000,1p
chr1,30200001,30300000,1p
chr1,30300001,30400000,1p
chr1,30600001,30700000,1p
chr1,30700001,30800000,1p
chr1,30800001,30900000,1p
chr1,31600001,31700000,1p
chr1,31700001,31800000,1p
chr1,33300001,33400000,1p
chr1,33400001,33500000,1p
chr1,33500001,33600000,1p
