Chromosome,Start,End,arm
chr1,2300001,2400000,1p
chr1,2400001,2500000,1p
chr1,2500001,2600000,1p
chr1,2800001,2900000,1p
chr1,2900001,3000000,1p
chr1,3000001,3100000,1p
chr1,3100001,3200000,1p
chr1,3200001,3300000,1p
chr1,3300001,3400000,1p
chr1,3400001,3500000,1p
chr1,3500001,3600000,1p
chr1,3600001,3700000,1p
chr1,3700001,3800000,1p
chr1,3800001,3900000,1p
chr1,3900001,4000000,1p
chr1,4000001,4100000,1p
chr1,4100001,4200000,1p
chr1,4200001,4300000,1p
chr1,4300001,4400000,1p
chr1,4400001,4500000,1p
chr1,4500001,4600000,1p
chr1,4600001,4700000,1p
chr1,4700001,4800000,1p
chr1,4800001,4900000,1p
chr1,4900001,5000000,1p
chr1,5000001,5100000,1p
chr1,5100001,5200000,1p
chr1,5200001,5300000,1p
chr1,5300001,5400000,1p
chr1,5400001,5500000,1p
chr1,5500001,5600000,1p
chr1,5600001,5700000,1p
chr1,5700001,5800000,1p
chr1,5900001,6000000,1p
chr1,6000001,6100000,1p
chr1,6100001,6200000,1p
chr1,6200001,6300000,1p
chr1,6500001,6600000,1p
chr1,6600001,6700000,1p
chr1,6700001,6800000,1p
chr1,6800001,6900000,1p
chr1,6900001,7000000,1p
chr1,7000001,7100000,1p
chr1,7100001,7200000,1p
chr1,7200001,7300000,1p
chr1,7300001,7400000,1p
chr1,7400001,7500000,1p
chr1,7500001,7600000,1p
chr1,7600001,7700000,1p
chr1,7700001,7800000,1p
chr1,7800001,7900000,1p
chr1,8000001,8100000,1p
chr1,8100001,8200000,1p
chr1,8300001,8400000,1p
chr1,8400001,8500000,1p
chr1,8500001,8600000,1p
chr1,8600001,8700000,1p
chr1,8700001,8800000,1p
chr1,9000001,9100000,1p
chr1,9100001,9200000,1p
chr1,9200001,9300000,1p
chr1,9300001,9400000,1p
chr1,9400001,9500000,1p
chr1,9600001,9700000,1p
chr1,9700001,9800000,1p
chr1,9800001,9900000,1p
chr1,10200001,10300000,1p
chr1,10300001,10400000,1p
chr1,10500001,10600000,1p
chr1,10600001,10700000,1p
chr1,10700001,10800000,1p
chr1,10800001,10900000,1p
chr1,10900001,11000000,1p
chr1,11100001,11200000,1p
chr1,11200001,11300000,1p
chr1,11300001,11400000,1p
chr1,11400001,11500000,1p
chr1,11500001,11600000,1p
chr1,11600001,11700000,1p
chr1,11700001,11800000,1p
chr1,11800001,11900000,1p
chr1,12000001,12100000,1p
chr1,12100001,12200000,1p
chr1,12200001,12300000,1p
chr1,12300001,12400000,1p
chr1,12400001,12500000,1p
chr1,12500001,12600000,1p
chr1,12600001,12700000,1p
chr1,13500001,13600000,1p
chr1,13600001,13700000,1p
chr1,13700001,13800000,1p
chr1,13800001,13900000,1p
chr1,13900001,14000000,1p
chr1,14000001,14100000,1p
chr1,14100001,14200000,1p
chr1,14200001,14300000,1p
chr1,14300001,14400000,1p
chr1,14400001,14500000,1p
chr1,14500001,14600000,1p
chr1,14600001,14700000,1p
chr1,14700001,14800000,1p
chr1,14800001,14900000,1p
chr1,14900001,15000000,1p
chr1,15000001,15100000,1p
chr1,15100001,15200000,1p
chr1,15200001,15300000,1p
chr1,15300001,15400000,1p
